player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved
37538546,Pedro Lima Barros,Osijek,Midfielder,23,Brazil,26.0,834.0,2.0,0.0,29.0,10.0,249.0,66.27,23.0,4.0,126.0,57.0,2.0,0.0,6.82,19.0,5.0,6.0,15.0,13.0,0.0,26.0,10.0,11.0,14.0,12.0,0.0,0.0,16.0,6.0,0.0
102012,Wilfried Kanga,Dinamo Zagreb,Attacker,28,France,15.0,827.0,3.0,0.0,27.0,9.0,122.0,74.59,1.0,1.0,70.0,35.0,1.0,0.0,6.86,8.0,5.0,0.0,12.0,1.0,0.0,2.0,2.0,3.0,18.0,5.0,0.0,0.0,7.0,6.0,0.0
73451,Danijel Zagorac,Dinamo Zagreb,Goalkeeper,39,Croatia,9.0,810.0,0.0,0.0,0.0,0.0,246.0,68.29,0.0,0.0,7.0,7.0,1.0,0.0,6.73,0.0,0.0,0.0,3.0,0.0,0.0,118.0,41.0,0.0,4.0,5.0,17.0,13.0,9.0,3.0,0.0
37596446,Mate Antunovic,Hajduk Split,Attacker,22,Croatia,17.0,791.0,1.0,0.0,14.0,7.0,117.0,58.12,2.0,3.0,75.0,25.0,2.0,0.0,6.73,8.0,4.0,1.0,4.0,3.0,0.0,6.0,2.0,5.0,15.0,4.0,0.0,0.0,5.0,7.0,0.0
31625999,Josip Gačić,Šibenik,Defender,28,Croatia,13.0,744.0,0.0,1.0,12.0,0.0,251.0,68.13,21.0,11.0,98.0,48.0,3.0,0.0,6.69,0.0,0.0,1.0,10.0,0.0,8.0,59.0,26.0,0.0,9.0,17.0,0.0,0.0,10.0,3.0,0.0
432894,Maxime Bernauer,Dinamo Zagreb,Defender,28,France,9.0,735.0,0.0,0.0,3.0,0.0,560.0,86.96,8.0,9.0,55.0,33.0,1.0,0.0,6.98,4.0,1.0,5.0,9.0,3.0,2.0,96.0,50.0,3.0,15.0,27.0,0.0,0.0,13.0,2.0,0.0
37569839,Lukas Kacavenda,Dinamo Zagreb,Midfielder,23,Croatia,24.0,733.0,2.0,3.0,7.0,4.0,297.0,79.46,17.0,8.0,114.0,62.0,1.0,0.0,7.01,22.0,11.0,7.0,24.0,12.0,4.0,9.0,6.0,15.0,7.0,4.0,0.0,0.0,7.0,10.0,0.0
69675,Luka Menalo,Rijeka,Attacker,29,Bosnia and Herzegovina,17.0,727.0,1.0,0.0,9.0,3.0,226.0,70.8,17.0,7.0,105.0,54.0,2.0,0.0,6.81,19.0,6.0,6.0,16.0,17.0,3.0,27.0,10.0,7.0,16.0,13.0,0.0,0.0,7.0,8.0,0.0
73159,Ante Erceg,Gorica,Attacker,36,Croatia,12.0,717.0,1.0,1.0,13.0,4.0,214.0,77.1,9.0,2.0,126.0,43.0,5.0,0.0,6.7,17.0,5.0,5.0,13.0,3.0,1.0,12.0,7.0,5.0,16.0,3.0,0.0,0.0,12.0,5.0,0.0
37529443,Enes Alic,Varaždin,Defender,26,Bosnia and Herzegovina,18.0,713.0,0.0,0.0,11.0,3.0,328.0,78.35,17.0,3.0,86.0,39.0,4.0,0.0,6.85,12.0,4.0,2.0,11.0,35.0,8.0,48.0,18.0,4.0,8.0,20.0,0.0,0.0,5.0,7.0,0.0
